,maoyanID,name,rating,box,box_day,box_week,release_date,IMAX,reg_美国,reg_中国大陆,reg_日本,reg_印度,reg_中国港澳台,week_want,online_days,weibo_topic,gen_爱情,gen_剧情,gen_奇幻,gen_传记,gen_家庭,gen_悬疑,gen_恐怖,gen_犯罪,gen_科幻,gen_灾难,gen_历史,gen_冒险,gen_动画,gen_运动,gen_动作,gen_古装,gen_战争,gen_喜剧,gen_音乐,gen_纪录片,gen_惊悚,spring,labor,summer,national
545,249003,侠探杰克：永不回头,8.1,60999000.0,11069000.0,37750000.0,2016-10-21 00:00:00,True,True,False,False,False,False,8478.0,22.0,9880000.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
547,336061,贫穷富爸爸,8.1,5852000.0,979000.0,3185000.0,2016-11-10 00:00:00,False,False,True,False,False,True,1903.0,15.0,5460000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
551,621219,盛先生的花儿,8.1,630000.0,129000.0,349000.0,2016-11-04 00:00:00,False,False,True,False,False,False,864.0,7.0,1580000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
558,79203,盗墓笔记,8.0,1002000000.0,161000000.0,477000000.0,2016-08-05 00:00:00,True,False,True,False,False,False,96732.0,57.0,11470000.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
560,246231,夏有乔木 雅望天堂,8.0,156000000.0,44558000.0,89502000.0,2016-08-05 00:00:00,False,False,True,False,False,False,32841.0,30.0,41420000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
568,342094,寻找心中的你,8.0,535000.0,125000.0,332000.0,2016-03-18 00:00:00,False,False,False,False,False,True,1550.0,9.0,2276.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
576,344437,我是处女座,7.9,4672000.0,3178000.0,4182000.0,2016-11-25 00:00:00,False,False,True,False,False,False,5401.0,10.0,2420000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
579,342096,辣警霸王花,7.9,3630000.0,240000.0,1000000.0,2016-11-18 00:00:00,False,False,False,False,False,True,1744.0,14.0,100000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
582,343347,我的圣途,7.9,671000.0,234000.0,477000.0,2016-11-03 00:00:00,False,False,True,False,False,False,1010.0,7.0,2915.0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
584,247787,黑海夺金,7.9,2258000.0,415000.0,1506000.0,2016-09-09 00:00:00,False,True,False,False,False,False,1231.0,8.0,1291.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
587,246388,摆渡人,7.8,482000000.0,79420000.0,280000000.0,2016-12-23 00:00:00,False,False,True,False,False,True,47895.0,37.0,27170000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
588,341749,我不是潘金莲,7.8,482000000.0,70273000.0,205000000.0,2016-11-18 00:00:00,False,False,True,False,False,False,46188.0,43.0,25890000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
590,79088,三少爷的剑,7.8,100000000.0,18574000.0,52756000.0,2016-12-02 00:00:00,False,False,True,False,False,True,12941.0,31.0,7088.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
592,345105,最萌身高差,7.8,6187000.0,1381000.0,3868000.0,2016-11-25 00:00:00,False,False,True,False,False,False,5887.0,14.0,3760000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
594,336835,极速之巅,7.8,15542000.0,4680000.0,12215000.0,2016-12-02 00:00:00,False,False,False,False,False,False,4619.0,17.0,490000.00000000006,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
595,552527,脑残粉,7.8,1532000.0,775000.0,1414000.0,2016-11-02 00:00:00,False,False,False,False,True,False,1774.0,9.0,14950000.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
596,346087,小明和他的小伙伴们,7.8,11232000.0,2139000.0,7004000.0,2016-10-28 00:00:00,False,False,True,False,False,False,6266.0,21.0,560000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
597,257715,宾虚,7.8,17448000.0,4851000.0,16223000.0,2016-10-10 00:00:00,True,True,False,False,False,False,4804.0,17.0,869999.9999999999,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
604,246575,致青春·原来你还在这里,7.7,336000000.0,79867000.0,178000000.0,2016-07-08 00:00:00,False,False,True,False,False,False,57575.0,29.0,34880000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
605,79202,西游记之孙悟空三打白骨精,7.7,1198000000.0,166000000.0,768000000.0,2016-02-08 00:00:00,True,False,True,False,False,True,35807.0,52.0,750000.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
606,248967,梦想合伙人,7.7,80845000.0,17299000.0,51688000.0,2016-04-29 00:00:00,False,False,True,False,False,False,17677.0,29.0,6100000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
614,345919,少年,7.7,15878000.0,3239000.0,8562000.0,2016-12-16 00:00:00,False,False,True,False,False,False,4014.0,15.0,2270000.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
618,1132299,功夫四侠,7.7,2456000.0,748000.0,1319000.0,2016-12-17 00:00:00,False,False,True,False,False,False,1276.0,15.0,4335.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
626,345257,王牌逗王牌,7.6,260000000.0,22845000.0,107000000.0,2016-09-30 00:00:00,False,False,True,False,False,True,20743.0,34.0,4180000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True
628,246261,罗曼蒂克消亡史,7.6,122000000.0,21695000.0,65849000.0,2016-12-16 00:00:00,False,False,True,False,False,True,10748.0,43.0,4260000.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
631,345216,一句顶一万句,7.6,20880000.0,4108000.0,10845000.0,2016-11-04 00:00:00,False,False,True,False,False,True,4959.0,17.0,17170000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
648,346365,阿拉丁与神灯,7.4,16932000.0,3680000.0,13399000.0,2016-11-18 00:00:00,False,False,False,False,False,False,5746.0,16.0,280000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
650,342616,掠夺者,7.4,4384000.0,1216000.0,2843000.0,2016-12-23 00:00:00,False,True,False,False,False,False,3985.0,28.0,7530000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
653,1196157,狱中惊魂,7.4,327000.0,120000.0,243000.0,2016-11-04 00:00:00,False,False,True,False,False,False,424.0,7.0,175.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
658,1187526,那年夏天你去了哪里,7.3,34665000.0,10674000.0,27880000.0,2016-12-30 00:00:00,False,False,True,False,False,True,11215.0,27.0,1230000.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
659,341529,冲天火,7.3,36168000.0,10538000.0,26426000.0,2016-11-25 00:00:00,False,False,True,False,False,True,10796.0,17.0,13669999.999999998,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
660,342234,反黑行动组,7.3,2603000.0,775000.0,1948000.0,2016-12-09 00:00:00,False,False,False,False,False,False,2316.0,14.0,640000.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
661,248174,呆呆计划,7.3,4482000.0,892000.0,2388000.0,2016-12-09 00:00:00,False,False,True,False,False,False,3405.0,14.0,4150000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
662,345494,不离不弃,7.3,434000.0,136000.0,293000.0,2016-11-04 00:00:00,False,False,True,False,False,False,2999.0,7.0,440000.00000000006,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
663,337195,夏威夷之恋,7.3,2156000.0,779000.0,1762000.0,2016-11-25 00:00:00,False,True,True,False,False,False,1628.0,7.0,2750000.0,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
